ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
120	\"false\"	false	false	true	     yes	3030	41	40	14	0	1	12	40	12	230	0	<S:8> = <init>{173} -> [22]<S:8>.concat(\"A\"){1970} -> [41]<S:22>.replace('B', 'C'){680} -> [120]<S:41>.isEmpty(){3030}
122	\"false\"	false	false	true	     yes	3611	38	40	22	0	1	23	40	25	1290	0	<S:6> = <init>{567} -> [28]<S:6>.concat(\"B\"){1160} -> [38]<S:28>.concat(\"C\"){1344} -> [122]<S:38>.equals(\"BB\"){3611}
124	\"false\"	false	false	true	     yes	4718	31	40	3	0	1	1426	40	6	1398	0	<S:4> = <init>{2183} -> [25]<S:4>.replace('A', 'C'){565} -> [31]<S:25>.replace('B', 'A'){497} -> [124]<S:31>.contains(\"BA\"){4718}
125	\"false\"	false	false	true	     yes	4758	34	40	25	0	1	13	40	23	378	0	<S:8> = <init>{173} -> [14]<S:8>.concat(\"B\"){2932} -> [34]<S:14>.concat(\"A\"){1270} -> [125]<S:34>.isEmpty(){4758}
127	\"false\"	false	false	true	     yes	15351	46	1600	60	0	1	21	1600	71	6256	0	<S:8> = <init>{173} -> [14]<S:8>.concat(\"B\"){2932} -> [46]<S:14>.concat(<CS:13>){10030} -> [127]<S:46>.equals(\"\"){15351}
129	\"false\"	false	false	true	     yes	71021	43	1600	5	0	4	50956	1600	13	64313	0	<S:4> = <init>{2183} -> [20]<S:4>.concat(<CS:6>){6374} -> [43]<S:20>.replace('A', 'B'){439} -> [129]<S:43>.contains(\"AA\"){71021}
130	\"false\"	false	false	true	     yes	4971	37	40	16	0	1	13	40	12	244	0	<S:4> = <init>{2183} -> [18]<S:4>.concat(\"A\"){1864} -> [37]<S:18>.replace('C', 'B'){693} -> [130]<S:37>.isEmpty(){4971}
132	\"false\"	false	false	true	     yes	4696	48	40	23	0	1	17	40	24	502	0	<S:8> = <init>{173} -> [14]<S:8>.concat(\"B\"){2932} -> [48]<S:14>.concat(\"A\"){1138} -> [132]<S:48>.equals(\"\"){4696}
134	\"true\"	false	true	true	     yes	12844	29	40	12	36	18	12216	4	8	5401	0	<S:8> = <init>{173} -> [22]<S:8>.concat(\"A\"){1970} -> [29]<S:22>.replace('C', 'B'){796} -> [134]<S:29>.contains(\"B\"){12844}
135	\"false\"	false	true	true	     yes	4614	33	1600	5	1	1	20	1599	10	243	0	<S:5> = <init>{241} -> [12]<S:5>.concat(<CS:4>){3440} -> [33]<S:12>.replace('A', 'B'){711} -> [135]<S:33>.isEmpty(){4614}
137	\"false\"	false	false	true	     yes	7681	36	40	12	0	1	17	40	12	363	0	<S:4> = <init>{2183} -> [9]<S:4>.replace('A', 'B'){4369} -> [36]<S:9>.concat(\"B\"){786} -> [137]<S:36>.equals(\"A\"){7681}
139	\"true\"	false	true	false	     yes	83046	42	64000	92	64000	138	43354	0	31	23117	0	<S:7> = <init>{207} -> [27]<S:7>.replace('A', 'B'){508} -> [42]<S:27>.concat(<CS:12>){49455} -> [139]<S:42>.contains(\"\"){83046}
