ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
175	\"false\"	false	false	true	     yes	1318	85	6561	6	0	10	30	6561	14	126	0	<S:7> = <init>{146} -> [27]<S:7>.concat(<CS:8>){474} -> [41]<S:27>.delete(6, 6){442} -> [85]<S:41>.concat(<CS:56>){144} -> [175]<S:85>.isEmpty(){1318}
177	\"false\"	false	true	true	     yes	8087	67	797161	211497	1	31	18	797160	205442	286	0	<S:5> = <init>{137} -> [14]<S:5>.concat(<CS:4>){670} -> [57]<S:14>.concat(<CS:25>){512} -> [67]<S:57>.concat(\"B\"){6577} -> [177]<S:67>.equals(\"CB\"){8087}
179	\"false\"	false	true	true	     yes	1379	74	40	15	19	7	760	21	7	201	0	<S:5> = <init>{137} -> [31]<S:5>.delete(0, 0){376} -> [42]<S:31>.concat(\"A\"){452} -> [74]<S:42>.concat(\"C\"){223} -> [179]<S:74>.contains(\"BA\"){1379}
180	\"false\"	false	false	true	     yes	40667	64	1134	5	0	1	2	1134	4	44	0	<S:8> = <init>{125} -> [17]<S:8>.concat(\"B\"){900} -> [59]<S:17>.concat(<CS:22>){4609} -> [64]<S:59>.delete(6, 6){34993} -> [180]<S:64>.isEmpty(){40667}
182	\"false\"	false	false	true	     yes	4385	70	972	4	0	1	2	972	2	43	0	<S:5> = <init>{137} -> [14]<S:5>.concat(<CS:4>){670} -> [44]<S:14>.concat(\"A\"){675} -> [70]<S:44>.delete(6, 6){2865} -> [182]<S:70>.equals(\"\"){4385}
184	\"true\"	false	true	false	     yes	6904	75	1	12	1	1	116	0	1	68	0	<S:4> = <init>{2819} -> [11]<S:4>.delete(0, 1){3538} -> [48]<S:11>.concat(\"B\"){335} -> [75]<S:48>.delete(0, 3){101} -> [184]<S:75>.contains(\"\"){6904}
185	\"true\"	false	true	false	     yes	6694	84	1	1	1	0	2	0	1	15	0	<S:4> = <init>{2819} -> [11]<S:4>.delete(0, 1){3538} -> [47]<S:11>.delete(2, 2){254} -> [84]<S:47>.delete(0, 2){81} -> [185]<S:84>.isEmpty(){6694}
187	\"false\"	false	false	true	     yes	1667	79	78732	3	0	1	3	78732	4	53	0	<S:5> = <init>{137} -> [14]<S:5>.concat(<CS:4>){670} -> [57]<S:14>.concat(<CS:25>){512} -> [79]<S:57>.delete(9, 11){300} -> [187]<S:79>.equals(\"C\"){1667}
189	\"false\"	false	true	true	     yes	1057	80	81	3	21	4	483	60	4	178	0	<S:7> = <init>{146} -> [24]<S:7>.delete(2, 3){407} -> [56]<S:24>.delete(1, 1){239} -> [80]<S:56>.concat(<CS:47>){99} -> [189]<S:80>.contains(\"CC\"){1057}
190	\"false\"	false	false	true	     yes	233482	68	29403	19	0	1	1	29403	17	60	0	<S:7> = <init>{146} -> [27]<S:7>.concat(<CS:8>){474} -> [38]<S:27>.concat(<CS:17>){5666} -> [68]<S:38>.delete(6, 6){227142} -> [190]<S:68>.isEmpty(){233482}
